,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Afghanistan,United States of America's exports to Afghanistan,United States of America's exports to Afghanistan,Afghanistan's imports from world,Afghanistan's imports from world,Afghanistan's imports from world,Afghanistan's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,235673,21747,49756,,7367737,7562134,4334739,,1754300368,2062937261,2019159665
3,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",23,47,30541,,26170,64907,76424,,33042608,40194577,33904016
4,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",25108,1485,4349,,413858,387008,236431,,185778022,197748997,200654689
5,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",609,1522,3508,,96177,91552,28907,,6483005,7910015,6661220
6,'08,Edible fruit and nuts; peel of citrus fruit or melons,3007,7048,2766,,223652,193808,52995,,15061750,14756429,14865303
7,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",15029,1122,1620,,291371,200690,146393,,209410339,229594065,233009959
8,'99,Commodities not elsewhere specified,8638,475,1499,,25918,5571,311674,,49130835,62957556,67359995
9,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",11531,1653,885,,44166,34812,30552,,91627571,99053192,105107609
10,'38,Miscellaneous chemical products,2478,130,665,,46771,27909,18084,,36893596,41189143,38635587
11,'17,Sugars and sugar confectionery,0,0,462,,213601,156409,53245,,2068251,2439096,2729350
12,'40,Rubber and articles thereof,858,0,428,,189884,187368,132342,,13153623,14656598,14646521
13,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",0,0,413,,320896,381223,17515,,1166032,1229489,1422932
14,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",100,385,386,,48619,59186,29965,,13578568,14249645,14951439
15,'21,Miscellaneous edible preparations,336,284,320,,85431,141343,135309,,10487862,10459069,10272263
