,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,"United States of America's imports from Hong Kong, China","United States of America's imports from Hong Kong, China","United States of America's imports from Hong Kong, China","Hong Kong, China's exports to world","Hong Kong, China's exports to world","Hong Kong, China's exports to world","Hong Kong, China's exports to world",United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,4224508,4934447,4258224,,672153980,611481903,576144442,,2935314152,3375948186,3172533052
3,'99,Commodities not elsewhere specified,1712150,1722495,1938919,,1111744,1065533,759328,,120523238,117234923,124977171
4,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1037406,1330551,1109145,,71934098,68859402,81706979,,95969683,96960127,89549261
5,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",387082,571375,370664,,395547515,371718476,336205322,,415442291,477145907,463363545
6,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",124974,115972,140917,,95090192,82380736,72844120,,427918555,475932653,459195220
7,'95,"Toys, games and sports requisites; parts and accessories thereof",114303,132867,109710,,5570027,3916350,3039407,,51736985,55201125,44448292
8,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",64699,73356,59590,,20131941,15661064,14465679,,105979496,115032958,118320238
9,'61,"Articles of apparel and clothing accessories, knitted or crocheted",100711,64706,55043,,4396696,3248619,3160947,,52249668,60784841,45244512
10,'21,Miscellaneous edible preparations,55630,62330,46467,,1166644,1118456,1270120,,11125287,13107006,11932595
11,'39,Plastics and articles thereof,60335,58705,44845,,9251940,5929780,4536253,,82383519,89879630,72346644
12,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",43571,44061,26334,,1551923,849505,769714,,5062492,5827198,5067362
13,'38,Miscellaneous chemical products,54517,208110,25136,,2588349,1773850,1490908,,21953891,29507737,26911031
14,'69,Ceramic products,4084,12960,22517,,77615,52976,64505,,8353953,9637024,7959000
15,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",28437,27855,21385,,702029,506769,490121,,81318355,86736616,69006761
16,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19293,21822,19552,,636649,619987,594703,,11037973,14028956,14836798
17,'97,"Works of art, collectors' pieces and antiques",34324,38155,17978,,3469291,5189000,6861425,,8377261,10349607,10460361
18,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",20756,19976,16873,,377560,460943,740354,,23683668,25187793,21135061
19,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",22595,23036,15934,,3800198,3274417,3065698,,35037691,44567971,36346897
