,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Denmark,United States of America's exports to Denmark,United States of America's exports to Denmark,Denmark's imports from world,Denmark's imports from world,Denmark's imports from world,Denmark's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,3543820,4501750,5254769,,120259539,127078114,126396956,,1754300368,2062937261,2019159665
3,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",915034,1696834,1845209,,8409994,14350704,16822052,,240348491,378564312,323170542
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",309319,338385,440681,,14763454,13906570,13569555,,209410339,229594065,233009959
5,'88,"Aircraft, spacecraft, and parts thereof",70939,191109,366263,,627385,546682,886453,,89518426,102849540,124909470
6,'29,Organic chemicals,132655,134096,354415,,1230507,1416147,1462863,,43083944,51063345,51730963
7,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",264371,309868,330363,,3488042,3544269,3709226,,91627571,99053192,105107609
8,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",286536,301539,300810,,11833846,11956455,12314881,,185778022,197748997,200654689
9,'99,Commodities not elsewhere specified,202967,203857,241322,,340937,471646,349526,,49130835,62957556,67359995
10,'30,Pharmaceutical products,262289,224162,234789,,6624749,5795746,5441552,,77849066,83492755,90308213
11,'38,Miscellaneous chemical products,195229,156290,164518,,1718067,1608004,1454092,,36893596,41189143,38635587
12,'44,Wood and articles of wood; wood charcoal,89747,104949,135164,,2731500,2712019,2405702,,9743086,10439488,9505752
13,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",62880,47434,68980,,9926341,9548310,11632465,,122827854,134886249,152826672
14,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",27196,19850,68233,,977236,1162807,1156545,,4279475,4340585,2748547
15,'39,Plastics and articles thereof,57433,73600,62329,,5201882,5149163,4520180,,74313449,83283461,77796411
16,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",35468,30565,57689,,558742,822249,739376,,13499059,16837864,15010743
17,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",12795,30382,45299,,701765,775428,732910,,3853827,4288233,4354265
18,'22,"Beverages, spirits and vinegar",57908,63780,43425,,1702375,1674302,1554700,,8460677,10139208,9930612
19,'97,"Works of art, collectors' pieces and antiques",35682,53308,36942,,71255,122258,91351,,8679821,11022556,11126131
20,'35,Albuminoidal substances; modified starches; glues; enzymes,68404,33170,33123,,501744,502096,482021,,4685907,5203359,5315815
21,'95,"Toys, games and sports requisites; parts and accessories thereof",35384,34941,29169,,1213757,1074360,838680,,6789420,7386133,7603164
22,'73,Articles of iron or steel,36256,32562,28879,,3796736,3732280,3437895,,19291439,22006888,22722824
23,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",25825,26732,27818,,993172,982046,1195380,,13578568,14249645,14951439
24,'93,Arms and ammunition; parts and accessories thereof,56071,30807,25989,,84132,67853,59659,,4245180,4877955,5770286
25,'23,Residues and waste from the food industries; prepared animal fodder,28050,54725,25187,,1732025,1903261,1980390,,13119396,14756163,15822093
26,'08,Edible fruit and nuts; peel of citrus fruit or melons,24501,27715,23235,,897016,763678,796756,,15061750,14756429,14865303
27,'05,"Products of animal origin, not elsewhere specified or included",20145,11877,23030,,263970,273431,257787,,1241815,1346056,1396492
28,'70,Glass and glassware,17355,20236,18009,,653250,648021,602268,,5651743,6093142,6154191
29,'65,Headgear and parts thereof,5910,10931,15205,,117600,118750,99729,,363053,520352,519846
30,'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",21985,18499,15131,,971016,1037902,1077519,,2341858,2564607,2400752
31,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",18914,18852,14014,,3539061,3395736,2840898,,9277421,10087139,10055768
32,'21,Miscellaneous edible preparations,13069,12249,11836,,847721,878942,996271,,10487862,10459069,10272263
33,'72,Iron and steel,4420,9100,9277,,3125631,3704655,2950629,,18675764,20891807,20463485
34,'76,Aluminium and articles thereof,6320,7519,9189,,1525097,1795185,1800618,,12033895,14511112,14277975
35,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",5762,7048,8883,,475436,458456,438532,,4759263,5077957,4963181
36,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",8933,13964,8369,,320075,311218,282280,,82367398,92470876,76672348
37,'40,Rubber and articles thereof,5906,6525,7963,,1220486,901598,917432,,13153623,14656598,14646521
38,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",5871,13139,7915,,2654631,2911623,3022666,,4854294,5077262,4709611
39,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",8091,7380,7877,,710358,607653,570304,,7967676,8643291,7977328
40,'81,Other base metals; cermets; articles thereof,3184,6265,7440,,20802,20234,25249,,2374517,2948134,3281494
41,'83,Miscellaneous articles of base metal,4603,5579,6597,,619720,586932,502151,,4983597,5697372,5840037
