,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to France,United States of America's exports to France,United States of America's exports to France,France's imports from world,France's imports from world,France's imports from world,France's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,30598606,46943573,45257659,,706853607,814049723,775128724,,1754300368,2062937261,2019159665
3,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",4677781,15391941,11116856,,73932293,157587986,107391621,,240348491,378564312,323170542
4,'88,"Aircraft, spacecraft, and parts thereof",7215116,9027369,10836785,,11541717,12762293,12834441,,89518426,102849540,124909470
5,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",3353505,3889106,3928577,,84792072,85358392,89873778,,209410339,229594065,233009959
6,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2467991,2777600,2923604,,64467099,66713198,69197341,,185778022,197748997,200654689
7,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2101738,2344413,2489798,,23359643,22601316,23293000,,91627571,99053192,105107609
8,'30,Pharmaceutical products,1477206,1596634,1916625,,34035095,32423518,36267887,,77849066,83492755,90308213
9,'99,Commodities not elsewhere specified,1013555,1633496,1772092,,457579,372005,285359,,49130835,62957556,67359995
10,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",821422,1272481,1279652,,7695931,9347257,10276273,,82367398,92470876,76672348
11,'97,"Works of art, collectors' pieces and antiques",914903,1288451,1196316,,1350451,1240310,1496696,,8679821,11022556,11126131
12,'29,Organic chemicals,1093573,1286607,1099585,,16608769,18769826,14541413,,43083944,51063345,51730963
13,'38,Miscellaneous chemical products,1010194,1098593,1070725,,11691182,13421387,12508449,,36893596,41189143,38635587
14,'39,Plastics and articles thereof,646595,793188,706666,,29233616,30297474,27017597,,74313449,83283461,77796411
