,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Ghana,United States of America's exports to Ghana,United States of America's exports to Ghana,Ghana's imports from world,Ghana's imports from world,Ghana's imports from world,Ghana's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,957437,974497,850833,,17848192,17962660,16394368,,1754300368,2062937261,2019159665
3,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",55208,193112,150982,,2661919,4805924,5262253,,240348491,378564312,323170542
4,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",328301,196393,140089,,2269583,1542853,1211628,,122827854,134886249,152826672
5,'39,Plastics and articles thereof,84674,97964,108864,,905531,787769,660516,,74313449,83283461,77796411
6,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",107738,114288,95380,,1827210,1760122,1552207,,209410339,229594065,233009959
7,'02,Meat and edible meat offal,92689,60047,57308,,126540,258194,210132,,22124262,23344302,21807421
8,'29,Organic chemicals,1678,1381,44243,,141112,139481,124278,,43083944,51063345,51730963
9,'99,Commodities not elsewhere specified,31424,31235,29831,,,,,,49130835,62957556,67359995
10,'40,Rubber and articles thereof,13186,25049,24930,,230719,201035,197341,,13153623,14656598,14646521
11,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",20964,25095,24007,,767282,637405,601174,,185778022,197748997,200654689
12,'21,Miscellaneous edible preparations,13750,12239,19666,,135162,123995,99291,,10487862,10459069,10272263
13,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",13938,12941,19619,,240908,151508,137536,,91627571,99053192,105107609
14,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,20273,18564,18032,,13511,35564,27519,,9575720,10850826,8769626
