,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Greenland,United States of America's exports to Greenland,United States of America's exports to Greenland,Greenland's imports from world,Greenland's imports from world,Greenland's imports from world,Greenland's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,13134,7373,6896,,952785,1062579,1130642,,1754300368,2062937261,2019159665
3,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",979,919,2357,,38901,43460,42449,,122827854,134886249,152826672
4,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",803,1315,1118,,14023,13078,16272,,91627571,99053192,105107609
5,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",6334,1299,1060,,51194,47640,58087,,185778022,197748997,200654689
6,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1505,535,598,,110928,114455,115168,,209410339,229594065,233009959
7,'99,Commodities not elsewhere specified,795,450,502,,15381,16129,21280,,49130835,62957556,67359995
8,'88,"Aircraft, spacecraft, and parts thereof",410,1748,427,,20560,104398,20225,,89518426,102849540,124909470
9,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,13,44,147,,4668,4844,5039,,2892580,2939810,2618858
10,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",56,114,106,,9405,10414,13044,,4759263,5077957,4963181
11,'40,Rubber and articles thereof,73,137,93,,5301,4537,5984,,13153623,14656598,14646521
12,'02,Meat and edible meat offal,0,0,73,,21729,23501,23605,,22124262,23344302,21807421
13,'39,Plastics and articles thereof,61,31,68,,20320,19086,20709,,74313449,83283461,77796411
14,'30,Pharmaceutical products,0,0,44,,7424,8167,3653,,77849066,83492755,90308213
15,'93,Arms and ammunition; parts and accessories thereof,446,411,43,,2789,1906,2093,,4245180,4877955,5770286
16,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",31,39,36,,137253,259772,254418,,240348491,378564312,323170542
17,'73,Articles of iron or steel,6,20,31,,44868,54814,54832,,19291439,22006888,22722824
18,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",0,0,22,,5404,5010,5564,,7967676,8643291,7977328
19,'44,Wood and articles of wood; wood charcoal,0,0,20,,19567,16093,18603,,9743086,10439488,9505752
20,'54,Man-made filaments; strip and the like of man-made textile materials,0,0,16,,214,162,112,,1469319,1633167,1532639
21,'96,Miscellaneous manufactured articles,7,10,13,,3586,2854,3436,,2336068,2661046,2643892
22,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",6,0,12,,12232,15164,14214,,2163568,2646804,2839139
23,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",0,3,12,,1624,1641,869,,82367398,92470876,76672348
24,'89,"Ships, boats and floating structures",80,87,11,,122089,11976,105465,,2310974,2615501,3167933
25,'95,"Toys, games and sports requisites; parts and accessories thereof",8,77,11,,6589,6411,7722,,6789420,7386133,7603164
