,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Israel,United States of America's exports to Israel,United States of America's exports to Israel,Israel's imports from world,Israel's imports from world,Israel's imports from world,Israel's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,12861941,14233027,14033602,,92158602,107757786,83163005,,1754300368,2062937261,2019159665
3,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",3083914,3962385,3680188,,6927486,7022028,4694806,,82367398,92470876,76672348
4,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2582469,2516809,2257216,,11364606,12572876,10426616,,185778022,197748997,200654689
5,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1324196,1327480,1354075,,10760445,11428671,9214596,,209410339,229594065,233009959
6,'88,"Aircraft, spacecraft, and parts thereof",657138,738390,1030384,,229369,372956,354035,,89518426,102849540,124909470
7,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",743955,809364,851646,,3290224,3548325,3194349,,91627571,99053192,105107609
8,'93,Arms and ammunition; parts and accessories thereof,301825,395923,777337,,28598,30307,49023,,4245180,4877955,5770286
9,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",498730,667634,508161,,7619787,9197434,8592475,,122827854,134886249,152826672
10,'99,Commodities not elsewhere specified,364316,397246,477768,,1670039,1841086,1556900,,49130835,62957556,67359995
11,'39,Plastics and articles thereof,367655,528194,406435,,3752500,4093554,2853380,,74313449,83283461,77796411
12,'30,Pharmaceutical products,280196,274121,344819,,3663550,3610044,3300575,,77849066,83492755,90308213
13,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",460246,255199,308876,,9131433,14675744,9648721,,240348491,378564312,323170542
14,'37,Photographic or cinematographic goods,242732,233985,202217,,330190,312100,212904,,2293364,2195023,2127650
15,'38,Miscellaneous chemical products,150901,167638,138338,,1120869,1214418,874538,,36893596,41189143,38635587
16,'08,Edible fruit and nuts; peel of citrus fruit or melons,175217,174687,127783,,393733,441907,367183,,15061750,14756429,14865303
17,'29,Organic chemicals,153060,189367,125294,,1631105,2161272,1345704,,43083944,51063345,51730963
18,'23,Residues and waste from the food industries; prepared animal fodder,135721,131763,116223,,702042,806338,630277,,13119396,14756163,15822093
19,'73,Articles of iron or steel,67187,90106,110943,,1433077,1838311,1461818,,19291439,22006888,22722824
20,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",80593,95041,86478,,476439,734464,512285,,13499059,16837864,15010743
21,'76,Aluminium and articles thereof,60463,62673,78083,,946395,1104269,802768,,12033895,14511112,14277975
22,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",82212,118588,77982,,459927,557113,431485,,7686222,8440859,8004948
23,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",64287,62138,51962,,833235,849729,782972,,13578568,14249645,14951439
24,'72,Iron and steel,18743,35576,50755,,2568201,3009362,2109141,,18675764,20891807,20463485
25,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",49026,48824,47827,,290580,304358,249833,,4759263,5077957,4963181
26,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",56079,58872,47073,,812545,1079073,765988,,15357618,16984547,14967434
27,'81,Other base metals; cermets; articles thereof,35435,36419,45288,,107364,137729,105399,,2374517,2948134,3281494
28,'21,Miscellaneous edible preparations,51722,48578,42398,,471211,527055,470859,,10487862,10459069,10272263
29,'40,Rubber and articles thereof,29849,50774,36452,,759491,708357,555438,,13153623,14656598,14646521
30,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",31288,40249,36046,,465134,479094,372482,,7967676,8643291,7977328
31,'75,Nickel and articles thereof,15828,28602,33866,,32141,47780,51136,,2204622,3142630,4071617
32,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",30606,33527,33188,,1597406,1572395,1190931,,9277421,10087139,10055768
33,'35,Albuminoidal substances; modified starches; glues; enzymes,20277,39585,30111,,154356,174146,170202,,4685907,5203359,5315815
34,'95,"Toys, games and sports requisites; parts and accessories thereof",30235,35960,30102,,617944,558337,441232,,6789420,7386133,7603164
35,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",19925,24991,28778,,458952,517963,509626,,4356778,4869079,5162951
36,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",32263,30103,26599,,378004,430815,397915,,5005347,5385444,5442010
37,'74,Copper and articles thereof,11352,14059,23643,,375764,374150,313421,,10394755,10050035,10949330
38,'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,11081,7663,22528,,6599,9439,8924,,656457,750935,878798
39,'44,Wood and articles of wood; wood charcoal,17378,20365,18785,,956218,1012656,665113,,9743086,10439488,9505752
40,'55,Man-made staple fibres,15164,13223,18564,,209381,241696,166768,,2092227,2320179,2210887
41,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",12479,15076,17236,,1035742,1181660,939514,,2163568,2646804,2839139
42,'70,Glass and glassware,24337,18546,16497,,442001,495499,420217,,5651743,6093142,6154191
43,'65,Headgear and parts thereof,3813,3300,15876,,57722,73918,78978,,363053,520352,519846
44,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",14596,17498,15455,,460267,319538,290226,,2653173,3522489,3615147
45,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",17960,14251,15354,,400124,456129,349669,,3853827,4288233,4354265
46,'83,Miscellaneous articles of base metal,13178,14266,15315,,424541,432181,324292,,4983597,5697372,5840037
47,'64,"Footwear, gaiters and the like; parts of such articles",9453,15118,15140,,757531,890162,615451,,1150007,1343430,1414362
48,'97,"Works of art, collectors' pieces and antiques",33409,30092,14882,,107115,49970,76734,,8679821,11022556,11126131
49,'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",10516,15124,13367,,106796,101334,89060,,2605897,2611644,2542395
50,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",11933,12526,13150,,196817,216767,240614,,6483005,7910015,6661220
51,'96,Miscellaneous manufactured articles,11416,12156,12615,,316334,335959,280838,,2336068,2661046,2643892
52,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,9740,15890,12584,,120487,149049,102275,,9575720,10850826,8769626
53,'02,Meat and edible meat offal,10244,18036,12417,,869415,1072143,744210,,22124262,23344302,21807421
54,'10,Cereals,167544,83290,12061,,1144011,1360052,1019807,,30352567,31578972,23343580
55,'22,"Beverages, spirits and vinegar",11635,11645,10895,,594573,586238,524818,,8460677,10139208,9930612
56,'69,Ceramic products,11008,6370,10751,,628419,773981,496604,,2291792,2488620,2329982
57,'61,"Articles of apparel and clothing accessories, knitted or crocheted",7309,10082,9473,,1341396,1511481,1077214,,3030769,3492789,3394027
58,'54,Man-made filaments; strip and the like of man-made textile materials,5456,5147,9180,,86669,93826,78048,,1469319,1633167,1532639
59,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",6559,6721,8407,,218852,269051,218354,,1434670,1608212,1638216
60,'89,"Ships, boats and floating structures",14712,14903,8163,,320853,1397818,114130,,2310974,2615501,3167933
61,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,7810,6869,8150,,93308,106040,104485,,1045682,1150195,1197838
62,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",5805,6375,7532,,79410,85812,75038,,4209947,4245569,4079717
63,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,3429,5395,7276,,398375,384693,290435,,2892580,2939810,2618858
64,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",7482,7480,7256,,359792,467851,376955,,4279475,4340585,2748547
65,'18,Cocoa and cocoa preparations,9574,15552,6925,,265015,294868,284604,,1979976,2024138,2098865
66,'17,Sugars and sugar confectionery,5377,4648,6815,,306762,354362,400999,,2068251,2439096,2729350
