,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Japan,United States of America's exports to Japan,United States of America's exports to Japan,Japan's imports from world,Japan's imports from world,Japan's imports from world,Japan's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,74564692,80317146,76165162,,773720906,905098532,786365263,,1754300368,2062937261,2019159665
3,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",11551521,13395055,12060580,,155154898,256499455,195164367,,240348491,378564312,323170542
4,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",6887682,7167937,7344168,,28289036,28075791,28805087,,91627571,99053192,105107609
5,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",6398545,6497056,6370764,,71216108,72300076,69489826,,209410339,229594065,233009959
6,'30,Pharmaceutical products,5184825,6607015,6320129,,37507878,39320553,30904325,,77849066,83492755,90308213
7,'88,"Aircraft, spacecraft, and parts thereof",4447439,3641854,4966080,,5710955,3224936,4050400,,89518426,102849540,124909470
8,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",4395372,4668032,4398023,,113521258,120960386,115380864,,185778022,197748997,200654689
9,'29,Organic chemicals,2602940,3373721,3293965,,16901262,18403998,15387056,,43083944,51063345,51730963
10,'10,Cereals,4217002,4250421,3234974,,7532845,9667914,8149365,,30352567,31578972,23343580
11,'02,Meat and edible meat offal,3909589,3580956,3101965,,10987740,11322963,9902394,,22124262,23344302,21807421
12,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",2946006,3153704,2151056,,24103477,20450445,14945024,,82367398,92470876,76672348
13,'38,Miscellaneous chemical products,1708915,2145909,2038982,,7498740,10087244,7169578,,36893596,41189143,38635587
14,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",2123562,2580774,1943356,,5731876,6955631,5785850,,33042608,40194577,33904016
15,'99,Commodities not elsewhere specified,1125172,1428921,1852732,,12143756,13118280,13124152,,49130835,62957556,67359995
16,'39,Plastics and articles thereof,1841301,1973317,1784207,,17383552,18332885,16124587,,74313449,83283461,77796411
17,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",1500375,1407406,1757199,,23111199,22257524,24958815,,122827854,134886249,152826672
18,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",1067831,1242073,1215791,,7736800,12085998,9545174,,13499059,16837864,15010743
19,'44,Wood and articles of wood; wood charcoal,678791,918360,816714,,11215780,13366563,9986516,,9743086,10439488,9505752
