,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Mexico,United States of America's exports to Mexico,United States of America's exports to Mexico,Mexico's imports from world,Mexico's imports from world,Mexico's imports from world,Mexico's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,276491020,324377863,323227913,,505715616,604614616,598475395,,1754300368,2062937261,2019159665
3,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",43438286,50147578,51602367,,101171727,117278522,121332090,,185778022,197748997,200654689
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",39267203,45152974,45705711,,79159524,94223151,95719328,,209410339,229594065,233009959
5,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",42229124,56012257,45071282,,42987830,62903310,43244684,,240348491,378564312,323170542
6,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",18863319,22956583,28356072,,39180046,48287145,61274620,,122827854,134886249,152826672
7,'39,Plastics and articles thereof,19325313,21250170,21198077,,29738792,32721371,30714898,,74313449,83283461,77796411
8,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",7570135,8776116,10142071,,20306662,18740400,16479859,,91627571,99053192,105107609
9,'99,Commodities not elsewhere specified,8132271,9668713,9706269,,20278563,24481961,25854743,,49130835,62957556,67359995
10,'73,Articles of iron or steel,5939948,7042938,7511928,,11061119,12739437,13100966,,19291439,22006888,22722824
11,'10,Cereals,6441439,6942162,6903595,,7567681,8886124,8586821,,30352567,31578972,23343580
12,'29,Organic chemicals,6321510,8254765,6829510,,10717222,13295823,11037635,,43083944,51063345,51730963
13,'72,Iron and steel,5811102,6777338,6819989,,17523920,20822191,21547093,,18675764,20891807,20463485
14,'38,Miscellaneous chemical products,5143101,5905871,6177059,,7877904,9568403,10392701,,36893596,41189143,38635587
15,'88,"Aircraft, spacecraft, and parts thereof",4279023,4789356,4906582,,144260,255784,290237,,89518426,102849540,124909470
16,'76,Aluminium and articles thereof,3695369,4765180,4395413,,8716737,11640040,9496241,,12033895,14511112,14277975
17,'02,Meat and edible meat offal,3705598,3877981,4341979,,5210276,6007673,6404526,,22124262,23344302,21807421
18,'40,Rubber and articles thereof,3331851,3952327,4281771,,7600346,8800589,8922866,,13153623,14656598,14646521
19,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",4401580,4533521,4265089,,6223068,7566614,6823237,,15357618,16984547,14967434
20,'74,Copper and articles thereof,3489787,2636389,3690910,,4603833,3750334,4833779,,10394755,10050035,10949330
21,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",3053941,4109202,3338941,,5242226,6244167,5754692,,33042608,40194577,33904016
22,'30,Pharmaceutical products,2506904,2134914,2665620,,6009355,6252206,7727470,,77849066,83492755,90308213
23,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1869850,2485300,2377184,,2218820,3078471,2950156,,6483005,7910015,6661220
24,'23,Residues and waste from the food industries; prepared animal fodder,1954619,2102246,2333372,,2157853,2401949,2300494,,13119396,14756163,15822093
25,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",2415075,2619097,2298716,,3618588,4439873,3591034,,13499059,16837864,15010743
26,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",1622238,1961407,1904707,,2662084,3100718,2899994,,7967676,8643291,7977328
27,'83,Miscellaneous articles of base metal,1540569,1833683,1876121,,2935409,3289921,3335325,,4983597,5697372,5840037
28,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",1625974,1820589,1845002,,4058547,4612096,4404247,,9277421,10087139,10055768
29,'21,Miscellaneous edible preparations,1416342,1570017,1677437,,1666281,1914174,2101041,,10487862,10459069,10272263
30,'26,"Ores, slag and ash",1806383,1888554,1630379,,2038595,2226342,2139235,,8488980,8565365,8103305
31,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",758868,1213814,1281247,,882669,1406398,1787277,,2653173,3522489,3615147
32,'95,"Toys, games and sports requisites; parts and accessories thereof",947047,1104229,1281025,,2722811,3264201,3049032,,6789420,7386133,7603164
33,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",965500,969663,1179863,,3509923,3993947,4531004,,13578568,14249645,14951439
