,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Nepal,United States of America's exports to Nepal,United States of America's exports to Nepal,Nepal's imports from world,Nepal's imports from world,Nepal's imports from world,Nepal's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,196664,258267,62796,,15792669,13716419,10111478,,1754300368,2062937261,2019159665
3,'23,Residues and waste from the food industries; prepared animal fodder,24702,17402,10232,,223364,187189,167725,,13119396,14756163,15822093
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",17159,14490,7804,,1245713,949451,676712,,209410339,229594065,233009959
5,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",29371,50284,6829,,226183,217439,98121,,33042608,40194577,33904016
6,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",10625,7614,6662,,271129,215340,169902,,91627571,99053192,105107609
7,'88,"Aircraft, spacecraft, and parts thereof",9142,4458,5377,,44995,51951,31066,,89518426,102849540,124909470
8,'55,Man-made staple fibres,2611,2173,5276,,151215,143512,117560,,2092227,2320179,2210887
9,'99,Commodities not elsewhere specified,16188,15840,5272,,0,0,44649,,49130835,62957556,67359995
10,'39,Plastics and articles thereof,739,448,2232,,626865,532584,315393,,74313449,83283461,77796411
11,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1554,1596,2124,,118103,103279,97368,,13578568,14249645,14951439
12,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2543,4720,2093,,1015675,856225,745459,,185778022,197748997,200654689
13,'08,Edible fruit and nuts; peel of citrus fruit or melons,5832,1944,1682,,210735,170370,165145,,15061750,14756429,14865303
14,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,705,1048,1295,,2032,2683,1968,,9575720,10850826,8769626
15,'38,Miscellaneous chemical products,1459,1893,837,,139549,115076,90611,,36893596,41189143,38635587
16,'30,Pharmaceutical products,61491,119856,558,,523006,435651,312218,,77849066,83492755,90308213
17,'21,Miscellaneous edible preparations,532,485,476,,103944,107561,75925,,10487862,10459069,10272263
18,'44,Wood and articles of wood; wood charcoal,246,216,334,,75672,48973,40113,,9743086,10439488,9505752
19,'97,"Works of art, collectors' pieces and antiques",222,1090,330,,194,1707,668,,8679821,11022556,11126131
20,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",26,46,316,,79328,71315,69930,,9277421,10087139,10055768
21,'10,Cereals,1953,3216,269,,684142,476850,366690,,30352567,31578972,23343580
22,'95,"Toys, games and sports requisites; parts and accessories thereof",75,140,267,,22971,16430,21884,,6789420,7386133,7603164
23,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",65,98,231,,17823,18881,15784,,5005347,5385444,5442010
24,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",42,16,215,,68793,58708,38451,,3853827,4288233,4354265
25,'01,Live animals,1594,256,195,,17608,8766,4029,,1279591,1198281,1191003
26,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",772,673,185,,1114322,750546,52080,,4279475,4340585,2748547
27,'29,Organic chemicals,409,251,183,,125512,124006,80066,,43083944,51063345,51730963
28,'96,Miscellaneous manufactured articles,29,42,145,,62774,60238,103813,,2336068,2661046,2643892
29,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",16,53,130,,14779,28591,26956,,4209947,4245569,4079717
30,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",2195,106,127,,969139,525756,485977,,122827854,134886249,152826672
31,'40,Rubber and articles thereof,165,18,124,,149556,110877,106396,,13153623,14656598,14646521
32,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",0,0,122,,17069,18784,9853,,6483005,7910015,6661220
33,'92,Musical instruments; parts and accessories of such articles,74,118,104,,2093,2354,2692,,851690,935608,928733
34,'70,Glass and glassware,125,55,88,,83456,81918,63279,,5651743,6093142,6154191
35,'22,"Beverages, spirits and vinegar",51,58,77,,33871,26563,33280,,8460677,10139208,9930612
36,'89,"Ships, boats and floating structures",20,0,74,,195,115,1191,,2310974,2615501,3167933
37,'73,Articles of iron or steel,60,139,61,,203209,208272,152749,,19291439,22006888,22722824
38,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",199,144,50,,89348,71558,38465,,2832298,3301294,3161213
39,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",85,235,46,,67530,61178,51386,,7686222,8440859,8004948
40,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",0,0,41,,2391200,3149570,2325644,,240348491,378564312,323170542
41,'35,Albuminoidal substances; modified starches; glues; enzymes,3,155,40,,26059,27727,22559,,4685907,5203359,5315815
42,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",77,59,36,,203137,136489,163025,,2163568,2646804,2839139
43,'57,Carpets and other textile floor coverings,0,0,31,,6095,3631,3345,,776609,777073,753219
44,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",0,10,30,,26926,30619,39919,,1166032,1229489,1422932
45,'17,Sugars and sugar confectionery,17,68,25,,84416,37892,29476,,2068251,2439096,2729350
46,'76,Aluminium and articles thereof,42,8,24,,122312,114037,102593,,12033895,14511112,14277975
47,'18,Cocoa and cocoa preparations,23,929,23,,17706,18316,16492,,1979976,2024138,2098865
48,'83,Miscellaneous articles of base metal,14,19,22,,55064,48970,39309,,4983597,5697372,5840037
49,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",12,45,15,,553322,443812,76764,,82367398,92470876,76672348
50,'64,"Footwear, gaiters and the like; parts of such articles",11,32,15,,73472,68420,54600,,1150007,1343430,1414362
