,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to United Kingdom,United States of America's exports to United Kingdom,United States of America's exports to United Kingdom,United Kingdom's imports from world,United Kingdom's imports from world,United Kingdom's imports from world,United Kingdom's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,61425144,77300938,74089917,,695578289,816299884,791855405,,1754300368,2062937261,2019159665
3,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",8220103,20235993,13339668,,70319341,137224495,92425936,,240348491,378564312,323170542
4,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",13064897,10531020,9953021,,82498594,60727566,63205631,,82367398,92470876,76672348
5,'88,"Aircraft, spacecraft, and parts thereof",6094390,8123790,8803844,,6271729,8783395,14991213,,89518426,102849540,124909470
6,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",5373280,5767460,6181019,,80226103,89639990,97377165,,209410339,229594065,233009959
7,'30,Pharmaceutical products,4162509,5629055,5503307,,27047223,33145429,27304657,,77849066,83492755,90308213
8,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",3737720,4342959,5152834,,62482014,66760809,74032978,,185778022,197748997,200654689
9,'99,Commodities not elsewhere specified,2515497,3103213,3394513,,9504017,24995877,28420443,,49130835,62957556,67359995
10,'97,"Works of art, collectors' pieces and antiques",2188048,2512746,2860251,,1871549,2776698,2332302,,8679821,11022556,11126131
11,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2547899,2835344,2760046,,18726146,21884941,23562448,,91627571,99053192,105107609
12,'29,Organic chemicals,1018742,987278,2516852,,11627336,14284140,12902036,,43083944,51063345,51730963
13,'39,Plastics and articles thereof,1455858,1634213,1380409,,21288886,22647790,19662740,,74313449,83283461,77796411
14,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",1430928,1308264,1266561,,64143931,73546597,90056038,,122827854,134886249,152826672
15,'44,Wood and articles of wood; wood charcoal,891546,1134148,1252628,,10260443,9549953,8208499,,9743086,10439488,9505752
16,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",796784,806689,848661,,6331422,6835025,7599828,,13578568,14249645,14951439
17,'38,Miscellaneous chemical products,1110932,993077,834568,,13215499,10023573,7673108,,36893596,41189143,38635587
18,'22,"Beverages, spirits and vinegar",473941,539269,733059,,9307218,10418641,10599208,,8460677,10139208,9930612
19,'73,Articles of iron or steel,422317,468331,490364,,10639316,11553770,10844981,,19291439,22006888,22722824
20,'81,Other base metals; cermets; articles thereof,240392,316397,454682,,845748,1076801,1233486,,2374517,2948134,3281494
21,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",164974,189282,390960,,2212823,3254735,2838632,,13499059,16837864,15010743
22,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",407925,378236,381964,,1866170,1916412,1680098,,4209947,4245569,4079717
23,'75,Nickel and articles thereof,206590,303869,379427,,1136739,1547008,1755836,,2204622,3142630,4071617
24,'26,"Ores, slag and ash",169807,178317,321623,,2761300,2705422,2692098,,8488980,8565365,8103305
25,'95,"Toys, games and sports requisites; parts and accessories thereof",317323,348408,308844,,8309499,8071213,7339892,,6789420,7386133,7603164
26,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",225157,247160,253385,,14305158,14543852,12539323,,9277421,10087139,10055768
27,'40,Rubber and articles thereof,228408,253074,241507,,6479655,5961862,5678583,,13153623,14656598,14646521
28,'76,Aluminium and articles thereof,162833,205430,231372,,5411217,6760602,5965488,,12033895,14511112,14277975
29,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",178797,205067,230893,,2301780,2476581,2432135,,3853827,4288233,4354265
30,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",252767,263909,221570,,7110294,9401190,8112775,,15357618,16984547,14967434
31,'08,Edible fruit and nuts; peel of citrus fruit or melons,190656,174991,179307,,6428098,6090293,6153455,,15061750,14756429,14865303
32,'93,Arms and ammunition; parts and accessories thereof,155873,205389,174482,,799377,785105,1003072,,4245180,4877955,5770286
33,'21,Miscellaneous edible preparations,224110,199426,168292,,3706082,4392663,4758471,,10487862,10459069,10272263
34,'83,Miscellaneous articles of base metal,145563,155204,163063,,3066651,3097893,3089851,,4983597,5697372,5840037
35,'23,Residues and waste from the food industries; prepared animal fodder,114555,97458,162937,,3626078,4089307,4288335,,13119396,14756163,15822093
36,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",162507,151528,154494,,2104475,2046555,1874267,,4759263,5077957,4963181
37,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",132535,180132,148569,,1681743,2001632,1737715,,33042608,40194577,33904016
38,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",188909,157228,132564,,3002020,3264105,3205335,,7686222,8440859,8004948
39,'72,Iron and steel,65817,99135,129285,,7836199,7798986,6674508,,18675764,20891807,20463485
40,'70,Glass and glassware,121382,120296,124065,,2660010,2737646,2719588,,5651743,6093142,6154191
41,'35,Albuminoidal substances; modified starches; glues; enzymes,138404,143870,119572,,1003113,1300895,1287670,,4685907,5203359,5315815
42,'61,"Articles of apparel and clothing accessories, knitted or crocheted",90236,98091,116824,,12078169,13780660,11184452,,3030769,3492789,3394027
43,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",120559,124748,114982,,2512552,2490923,2371852,,7967676,8643291,7977328
