,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Viet Nam,United States of America's exports to Viet Nam,United States of America's exports to Viet Nam,Viet Nam's imports from world,Viet Nam's imports from world,Viet Nam's imports from world,Viet Nam's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,11010738,11398113,9811559,,330752261,358788815,335129155,,1754300368,2062937261,2019159665
3,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2005300,1920632,1717620,,118140894,122722680,116549093,,185778022,197748997,200654689
4,'52,Cotton,1032694,1084373,751288,,4914207,5721410,4755314,,7129541,10744033,7296980
5,'39,Plastics and articles thereof,577992,663772,659374,,19983552,20830867,16490838,,74313449,83283461,77796411
6,'23,Residues and waste from the food industries; prepared animal fodder,540981,599554,638026,,4865435,5495064,4315567,,13119396,14756163,15822093
7,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",214059,592408,575887,,2133951,3145019,3240513,,13499059,16837864,15010743
8,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",550585,560004,530643,,1575373,1829978,1892433,,33042608,40194577,33904016
9,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",516678,472647,485807,,24114520,25650607,29115760,,209410339,229594065,233009959
10,'72,Iron and steel,673851,413887,381904,,14744151,14329114,12215162,,18675764,20891807,20463485
11,'08,Edible fruit and nuts; peel of citrus fruit or melons,272624,301608,343758,,4566390,3465068,3588074,,15061750,14756429,14865303
12,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,426025,369218,307267,,1127164,1056059,1030568,,9575720,10850826,8769626
13,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",337727,313741,298130,,7961988,7511309,7125530,,91627571,99053192,105107609
14,'44,Wood and articles of wood; wood charcoal,318096,354152,253983,,2375432,2456252,1457768,,9743086,10439488,9505752
15,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",265471,250825,171090,,16390904,26884110,16033624,,240348491,378564312,323170542
16,'30,Pharmaceutical products,359544,231583,160424,,4237730,3785137,2698591,,77849066,83492755,90308213
17,'64,"Footwear, gaiters and the like; parts of such articles",177910,199738,159921,,1215852,1576632,2479085,,1150007,1343430,1414362
18,'02,Meat and edible meat offal,157743,225182,155486,,1384935,1525229,2008003,,22124262,23344302,21807421
19,'88,"Aircraft, spacecraft, and parts thereof",93323,557270,153707,,338126,668730,1479123,,89518426,102849540,124909470
20,'10,Cereals,175677,110474,146737,,5150157,5704711,4798046,,30352567,31578972,23343580
21,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",154499,178651,143112,,7443592,8139094,7224448,,122827854,134886249,152826672
