,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Yemen,United States of America's exports to Yemen,United States of America's exports to Yemen,Yemen's imports from world,Yemen's imports from world,Yemen's imports from world,Yemen's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,271367,381998,178790,,12861430,13087460,8569339,,1754300368,2062937261,2019159665
3,'10,Cereals,160805,272687,89740,,1383090,1644033,1208056,,30352567,31578972,23343580
4,'07,Edible vegetables and certain roots and tubers,20765,17173,16476,,85368,90029,56889,,4927469,5041199,5335168
5,'73,Articles of iron or steel,324,1459,15158,,196859,222467,164466,,19291439,22006888,22722824
6,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",12830,6496,8872,,840937,560455,469925,,122827854,134886249,152826672
7,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",4168,2971,8553,,995694,881122,44384,,240348491,378564312,323170542
8,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",14667,4343,7811,,394093,430384,182533,,6483005,7910015,6661220
9,'21,Miscellaneous edible preparations,4791,9099,7310,,182743,180522,151029,,10487862,10459069,10272263
10,'99,Commodities not elsewhere specified,3967,4364,4337,,21998,175319,127960,,49130835,62957556,67359995
11,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",3461,2906,3190,,544661,534346,381796,,209410339,229594065,233009959
12,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1540,1821,2892,,503582,485525,401670,,185778022,197748997,200654689
13,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2252,1174,2318,,124406,105058,91508,,91627571,99053192,105107609
14,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",750,805,2227,,162236,188330,110062,,15357618,16984547,14967434
15,'88,"Aircraft, spacecraft, and parts thereof",176,81,2088,,515,954,3527,,89518426,102849540,124909470
16,'39,Plastics and articles thereof,2598,2241,1224,,736135,738584,273027,,74313449,83283461,77796411
17,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",857,616,1076,,24165,26360,19655,,33042608,40194577,33904016
18,'38,Miscellaneous chemical products,2713,2007,1017,,82649,83390,64789,,36893596,41189143,38635587
19,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",21523,48480,965,,389458,354212,340492,,4279475,4340585,2748547
20,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,251,62,590,,74793,65501,57602,,2892580,2939810,2618858
21,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,3045,999,552,,6098,2137,985,,9575720,10850826,8769626
22,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",105,160,391,,119171,117273,83263,,9277421,10087139,10055768
23,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",222,261,332,,113270,134805,56221,,13578568,14249645,14951439
24,'95,"Toys, games and sports requisites; parts and accessories thereof",0,6,232,,47228,66665,64187,,6789420,7386133,7603164
25,'29,Organic chemicals,1579,152,188,,37724,34959,29749,,43083944,51063345,51730963
26,'35,Albuminoidal substances; modified starches; glues; enzymes,490,49,175,,21866,14398,9854,,4685907,5203359,5315815
27,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",144,3,173,,68225,57134,38048,,7967676,8643291,7977328
28,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",206,214,157,,72242,81676,75640,,7686222,8440859,8004948
29,'30,Pharmaceutical products,1460,503,150,,372696,309538,238457,,77849066,83492755,90308213
30,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",39,67,104,,258114,290216,95592,,5005347,5385444,5442010
31,'40,Rubber and articles thereof,31,120,91,,189451,168146,78519,,13153623,14656598,14646521
32,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",7,17,61,,389600,435422,286427,,4356778,4869079,5162951
33,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",15,134,50,,43435,43274,40288,,4759263,5077957,4963181
34,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",13,21,46,,67362,97914,13307,,2832298,3301294,3161213
35,'23,Residues and waste from the food industries; prepared animal fodder,3386,0,44,,157572,46851,92048,,13119396,14756163,15822093
36,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",3,0,23,,35716,44592,22558,,3853827,4288233,4354265
37,'69,Ceramic products,0,0,22,,127366,114700,60896,,2291792,2488620,2329982
38,'58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,0,0,20,,24886,22073,18705,,403747,414943,428342
39,'31,Fertilisers,0,0,19,,12523,26386,26513,,4621063,8472033,5483859
40,'05,"Products of animal origin, not elsewhere specified or included",16,0,19,,31,23,20,,1241815,1346056,1396492
41,'22,"Beverages, spirits and vinegar",20,13,18,,74591,68752,26068,,8460677,10139208,9930612
42,'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",8,17,14,,13030,13585,14928,,2089033,2235287,2037867
43,'64,"Footwear, gaiters and the like; parts of such articles",64,29,14,,219138,256471,240792,,1150007,1343430,1414362
44,'74,Copper and articles thereof,0,0,13,,49410,65276,5660,,10394755,10050035,10949330
45,'96,Miscellaneous manufactured articles,29,47,11,,135908,165600,91073,,2336068,2661046,2643892
46,'76,Aluminium and articles thereof,24,14,8,,121912,115325,40961,,12033895,14511112,14277975
47,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",0,11,7,,35623,2606,4109,,4209947,4245569,4079717
48,'83,Miscellaneous articles of base metal,0,18,6,,61951,70289,51276,,4983597,5697372,5840037
49,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",0,0,3,,43418,47368,43545,,1434670,1608212,1638216
50,'72,Iron and steel,36,0,3,,699661,705164,575831,,18675764,20891807,20463485
51,'41,Raw hides and skins (other than furskins) and leather,0,0,0,,157,3,257,,1863084,1762333,1550763
52,'78,Lead and articles thereof,0,15,0,,61,32,50,,270871,192932,235419
53,'79,Zinc and articles thereof,0,0,0,,1233,4431,13,,408976,542242,383422
54,'80,Tin and articles thereof,3,0,0,,2365,1732,220,,238451,261297,244797
55,'81,Other base metals; cermets; articles thereof,0,0,0,,851,882,24,,2374517,2948134,3281494
56,'65,Headgear and parts thereof,0,0,0,,4151,5562,4336,,363053,520352,519846
57,'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,0,,1889,1133,1502,,44899,57514,52977
58,'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,0,0,0,,2930,3765,2540,,131555,159929,143078
59,'70,Glass and glassware,0,0,0,,65776,68103,58789,,5651743,6093142,6154191
60,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",0,0,0,,74966,117213,5906,,82367398,92470876,76672348
61,'43,Furskins and artificial fur; manufactures thereof,0,0,0,,162,86,81,,142967,122462,101152
62,'44,Wood and articles of wood; wood charcoal,0,0,0,,150230,150486,86706,,9743086,10439488,9505752
63,'45,Cork and articles of cork,0,0,0,,496,598,15,,21103,26438,26842
64,'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",0,0,0,,1375,845,327,,27025,21764,31278
65,'60,Knitted or crocheted fabrics,17,0,0,,48751,52168,56641,,821834,905325,751910
