,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's exports to Zambia,United States of America's exports to Zambia,United States of America's exports to Zambia,Zambia's imports from world,Zambia's imports from world,Zambia's imports from world,Zambia's imports from world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world,United States of America's exports to world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,94126,135315,94486,,7111525,9048377,10226926,,1754300368,2062937261,2019159665
3,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",21073,28362,41788,,994847,1201654,1251892,,209410339,229594065,233009959
4,'40,Rubber and articles thereof,15703,11293,12313,,189929,215487,183721,,13153623,14656598,14646521
5,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",10665,21633,10965,,707415,1026529,1497253,,122827854,134886249,152826672
6,'99,Commodities not elsewhere specified,5315,7226,5808,,6378,5993,8811,,49130835,62957556,67359995
7,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2559,2884,4860,,310509,348785,363660,,185778022,197748997,200654689
8,'39,Plastics and articles thereof,1446,3700,2302,,402768,544566,448707,,74313449,83283461,77796411
9,'38,Miscellaneous chemical products,4061,3705,2217,,298515,373476,290468,,36893596,41189143,38635587
10,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2887,1823,2125,,106307,109521,99061,,91627571,99053192,105107609
11,'88,"Aircraft, spacecraft, and parts thereof",2757,8088,2018,,8388,18723,10877,,89518426,102849540,124909470
12,'30,Pharmaceutical products,15599,31988,1836,,362754,408742,270983,,77849066,83492755,90308213
13,'73,Articles of iron or steel,1892,850,1708,,191501,189163,214089,,19291439,22006888,22722824
14,'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,2310,1214,1256,,3287,7927,9006,,9575720,10850826,8769626
15,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",394,6851,651,,722667,571563,1978306,,240348491,378564312,323170542
16,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,1479,1176,553,,68853,96506,119552,,2892580,2939810,2618858
17,'93,Arms and ammunition; parts and accessories thereof,173,278,549,,11418,4829,42476,,4245180,4877955,5770286
18,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",2000,1012,536,,2737,1277,1000,,82367398,92470876,76672348
19,'89,"Ships, boats and floating structures",78,112,414,,1040,2603,16028,,2310974,2615501,3167933
20,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",710,409,349,,30025,25497,29149,,4759263,5077957,4963181
21,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",744,299,348,,24877,34552,37537,,6483005,7910015,6661220
22,'10,Cereals,113,136,253,,45046,36592,66377,,30352567,31578972,23343580
23,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",216,192,252,,11319,11951,10740,,33042608,40194577,33904016
24,'96,Miscellaneous manufactured articles,14,12,183,,20187,16329,16531,,2336068,2661046,2643892
25,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",88,61,136,,21441,29674,19264,,4209947,4245569,4079717
26,'05,"Products of animal origin, not elsewhere specified or included",67,70,102,,1848,2754,2810,,1241815,1346056,1396492
27,'23,Residues and waste from the food industries; prepared animal fodder,6,81,102,,32426,39338,36881,,13119396,14756163,15822093
28,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",468,10,98,,44007,92202,86313,,7686222,8440859,8004948
29,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",149,230,72,,63755,70386,69274,,13578568,14249645,14951439
30,'83,Miscellaneous articles of base metal,36,37,72,,24636,20664,19111,,4983597,5697372,5840037
