,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Australia,United States of America's imports from Australia,United States of America's imports from Australia,Australia's exports to world,Australia's exports to world,Australia's exports to world,Australia's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,12781709,16626054,16387299,,345599938,402166083,370869477,,2935314152,3375948186,3172533052
3,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",2255868,3253065,3324251,,20627031,19436321,21456586,,95969683,96960127,89549261
4,'02,Meat and edible meat offal,2355798,2551684,2665915,,11605690,12011777,12343954,,11994351,12964609,12452072
5,'99,Commodities not elsewhere specified,756800,1036027,1251794,,8424624,9008161,7509669,,120523238,117234923,124977171
6,'30,Pharmaceutical products,838501,964189,1194192,,2371528,2559148,2676267,,149410420,164993417,177848476
7,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",874120,1033680,1097671,,3486715,3686504,3932983,,105979496,115032958,118320238
8,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",594600,763083,688470,,4759936,5022348,5343681,,427918555,475932653,459195220
9,'76,Aluminium and articles thereof,369692,757433,621093,,4682858,5132922,4442121,,28738897,36664809,28296236
10,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",136327,491369,518152,,944501,1341107,1177391,,10194217,14451440,15652636
11,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",375653,484869,439499,,3656010,3622519,3950453,,415442291,477145907,463363545
12,'72,Iron and steel,465345,608994,400050,,1455450,1584423,1463773,,38904135,44933026,33156047
13,'22,"Beverages, spirits and vinegar",369395,398031,354836,,2080583,1937183,1821153,,30975074,33727111,30960904
14,'88,"Aircraft, spacecraft, and parts thereof",299133,272123,325899,,1170156,1045175,1298737,,25494149,27148868,30158075
15,'26,"Ores, slag and ash",193096,279040,324055,,131822900,102408178,104439860,,3266247,3674036,3475363
16,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,170887,251955,323457,,854003,981251,985226,,2300512,2922742,2827673
17,'75,Nickel and articles thereof,174049,319894,314410,,49365,65568,97865,,2711774,4497248,4432562
18,'78,Lead and articles thereof,113684,257178,161241,,841319,780018,755400,,1462259,1558432,1302020
19,'79,Zinc and articles thereof,6865,237188,142207,,1185937,1279847,1344246,,2323040,3136910,2644045
20,'89,"Ships, boats and floating structures",188381,93216,133269,,322261,513899,407992,,3354314,4202133,4394088
21,'17,Sugars and sugar confectionery,77338,98221,114756,,207811,181967,150132,,5276752,6474233,6938019
22,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",138500,128565,107389,,1479439,1481999,1654078,,282898550,329648232,381037566
23,'31,Fertilisers,251862,183348,105963,,377804,524808,234658,,10291043,13248147,9816857
24,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",97233,102775,97372,,912140,860672,896951,,23683668,25187793,21135061
25,'05,"Products of animal origin, not elsewhere specified or included",86780,113918,92620,,314726,328002,287267,,1192682,1390170,1243411
26,'35,Albuminoidal substances; modified starches; glues; enzymes,58301,94101,92202,,326078,357351,289271,,3992509,4842622,4047522
27,'39,Plastics and articles thereof,94995,114679,91974,,886568,912798,768890,,82383519,89879630,72346644
28,'73,Articles of iron or steel,74035,105876,87661,,653199,701847,673315,,47929454,61174666,53264867
29,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",103646,92771,80847,,765984,748487,604370,,17756056,22401739,19189440
30,'23,Residues and waste from the food industries; prepared animal fodder,43028,69251,80628,,575329,581984,519180,,4663257,5619357,5116393
31,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",105656,160565,74481,,6412901,7208846,6296308,,13765594,19421660,17310231
32,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",49920,101504,72836,,3084084,6069797,4438547,,2903673,3515909,3188509
33,'38,Miscellaneous chemical products,69934,78061,70716,,554519,702511,424620,,21953891,29507737,26911031
34,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",102212,83348,68046,,1020016,1024525,946882,,16512895,19450808,20086344
35,'21,Miscellaneous edible preparations,72502,68136,58459,,1023435,989859,1179879,,11125287,13107006,11932595
36,'29,Organic chemicals,32861,41422,56968,,472815,559273,549869,,64624866,75919212,66588583
37,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",171,91279,44621,,91747835,159592869,125727253,,225121448,322698860,266592032
38,'08,Edible fruit and nuts; peel of citrus fruit or melons,56135,29807,44089,,1793513,1730386,1709101,,22227898,24120677,24218490
39,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",46014,49725,43217,,282263,296031,272120,,81318355,86736616,69006761
40,'74,Copper and articles thereof,73762,68550,39658,,3858668,4053176,4207658,,16236022,15562373,14533040
41,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",28455,42983,39115,,1514028,8607128,13418770,,5195503,6644946,6187972
42,'95,"Toys, games and sports requisites; parts and accessories thereof",29072,41961,35999,,342473,341365,468212,,51736985,55201125,44448292
43,'83,Miscellaneous articles of base metal,40899,42019,33240,,125504,137061,138968,,15459873,17444079,14965789
44,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",27362,30704,31934,,168230,166481,161477,,10976028,13668877,13570806
45,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",40726,22773,31396,,2486562,2519953,2063618,,3298274,3858466,3966288
46,'07,Edible vegetables and certain roots and tubers,23912,23376,28106,,1673936,1822725,2282033,,13483057,14744347,15444295
47,'97,"Works of art, collectors' pieces and antiques",16574,33123,26734,,77155,83826,91335,,8377261,10349607,10460361
48,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",55040,59672,25506,,852434,807717,637094,,5198524,5908588,4922264
49,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",18307,41763,24738,,935210,792899,652623,,11037973,14028956,14836798
50,'40,Rubber and articles thereof,12631,20545,24701,,232451,280113,288449,,41006678,40432341,34843081
51,'93,Arms and ammunition; parts and accessories thereof,26571,21424,24166,,62600,72187,148256,,5569831,4791362,4380573
52,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",24106,19806,23382,,324680,296644,242995,,5479280,6103832,5813224
53,'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",23702,32171,21488,,156259,151659,147783,,7350962,8130906,6814862
54,'10,Cereals,332,24744,20316,,10046044,13794866,12995768,,2387433,3357379,3588074
55,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",18636,17978,16943,,163023,166746,178444,,12320950,12673289,10993223
56,'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",14472,16334,16328,,56831,45128,37421,,3398784,3301695,2786665
57,'13,"Lac; gums, resins and other vegetable saps and extracts",36032,25466,12783,,23997,23541,21015,,1840866,2108440,1621001
58,'70,Glass and glassware,26215,19686,12306,,65857,91311,102206,,9477975,10689376,9216582
59,'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,8546,3225,11971,,22085,26977,26429,,1279439,1461142,1188316
