,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Belgium,United States of America's imports from Belgium,United States of America's imports from Belgium,Belgium's exports to world,Belgium's exports to world,Belgium's exports to world,Belgium's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,21563224,27474291,23505065,,549499377,636424483,568505277,,2935314152,3375948186,3172533052
3,'30,Pharmaceutical products,7185853,10187300,6739576,,97725436,103321111,82522066,,149410420,164993417,177848476
4,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",2863231,4374988,3056533,,22231250,22106954,15987913,,95969683,96960127,89549261
5,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",1331902,1874277,2573604,,51734829,53129722,63533522,,282898550,329648232,381037566
6,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1471673,1401031,1640388,,34965230,34818113,37030237,,427918555,475932653,459195220
7,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1290986,1632516,1633559,,51473361,114210781,70689860,,225121448,322698860,266592032
8,'99,Commodities not elsewhere specified,959365,996535,1506853,,382240,446335,591573,,120523238,117234923,124977171
9,'29,Organic chemicals,1406845,1329598,846944,,29757166,31802669,29793518,,64624866,75919212,66588583
10,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",569112,586508,634193,,18340127,18705851,21289894,,415442291,477145907,463363545
11,'39,Plastics and articles thereof,743067,779161,527697,,38971903,39318089,32689369,,82383519,89879630,72346644
12,'97,"Works of art, collectors' pieces and antiques",264062,277681,409144,,259523,392493,564914,,8377261,10349607,10460361
13,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",178977,220478,355292,,4606797,5531780,7071803,,10976028,13668877,13570806
14,'72,Iron and steel,207457,314326,319214,,21572067,24843226,21066820,,38904135,44933026,33156047
15,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",256796,349815,295091,,4205070,6147343,4723110,,13765594,19421660,17310231
16,'38,Miscellaneous chemical products,205569,344810,280114,,13218221,15966878,13351727,,21953891,29507737,26911031
17,'18,Cocoa and cocoa preparations,170969,198100,218074,,4405990,4078012,4908972,,5809447,6313982,6370822
18,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",166158,191390,215461,,14140711,13471805,14033040,,105979496,115032958,118320238
19,'73,Articles of iron or steel,61359,119879,164898,,6325118,6260284,6188354,,47929454,61174666,53264867
20,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",134170,167292,155332,,4836763,5142537,5996347,,11037973,14028956,14836798
21,'76,Aluminium and articles thereof,88807,125581,141111,,3984417,4386783,3794629,,28738897,36664809,28296236
22,'37,Photographic or cinematographic goods,101705,115766,113057,,911469,934305,867714,,1587714,1662665,1413439
23,'35,Albuminoidal substances; modified starches; glues; enzymes,78430,82045,94534,,1124707,1198226,1270439,,3992509,4842622,4047522
24,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",101619,106057,91141,,4790572,4716028,4490791,,5198524,5908588,4922264
25,'70,Glass and glassware,57205,81025,89589,,2510024,2565274,2732840,,9477975,10689376,9216582
26,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",86711,88446,87854,,3183073,3012146,3431535,,16512895,19450808,20086344
27,'01,Live animals,62421,79048,79112,,779465,798307,972511,,3352771,3686856,4056241
28,'31,Fertilisers,79200,164426,72404,,2609383,4564869,2782191,,10291043,13248147,9816857
29,'07,Edible vegetables and certain roots and tubers,66787,75594,69324,,2693079,2615529,2914655,,13483057,14744347,15444295
30,'44,Wood and articles of wood; wood charcoal,52359,86847,59676,,4639809,4464641,3592917,,35520074,36288065,24018724
31,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",44178,65827,57658,,4200994,4549763,4650093,,5479280,6103832,5813224
32,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",45795,53703,55673,,3463149,3234860,3104467,,81318355,86736616,69006761
33,'22,"Beverages, spirits and vinegar",258124,72108,54858,,5245363,5001149,5333609,,30975074,33727111,30960904
34,'57,Carpets and other textile floor coverings,96951,87067,54555,,1621140,1386257,1205373,,4216539,3929830,3428095
35,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,68762,62010,54096,,1503283,1645433,1807966,,2300512,2922742,2827673
36,'93,Arms and ammunition; parts and accessories thereof,34795,41010,50654,,421566,420530,443193,,5569831,4791362,4380573
37,'21,Miscellaneous edible preparations,48107,53875,48874,,2791036,2889170,3235651,,11125287,13107006,11932595
38,'95,"Toys, games and sports requisites; parts and accessories thereof",29097,39372,48414,,2363824,2117066,2420405,,51736985,55201125,44448292
39,'79,Zinc and articles thereof,39630,41987,42264,,1738092,1900112,1736478,,2323040,3136910,2644045
40,'88,"Aircraft, spacecraft, and parts thereof",23365,27206,36774,,936242,772635,912374,,25494149,27148868,30158075
41,'53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,38746,40899,36764,,496972,639133,803955,,340065,326422,244542
42,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",27938,31480,33833,,797859,778130,796007,,5062492,5827198,5067362
