,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Bhutan,United States of America's imports from Bhutan,United States of America's imports from Bhutan,Bhutan's exports to world,Bhutan's exports to world,Bhutan's exports to world,Bhutan's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,378,317,1645,,454189,437882,435626,,2935314152,3375948186,3172533052
3,'99,Commodities not elsewhere specified,42,26,682,,58,43,26,,120523238,117234923,124977171
4,'72,Iron and steel,0,0,551,,247413,256026,221679,,38904135,44933026,33156047
5,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",22,12,217,,19,182,27,,427918555,475932653,459195220
6,'97,"Works of art, collectors' pieces and antiques",48,23,62,,15,171,64,,8377261,10349607,10460361
7,'39,Plastics and articles thereof,0,0,58,,2086,803,1184,,82383519,89879630,72346644
8,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",4,3,51,,29,11,16,,81318355,86736616,69006761
9,'22,"Beverages, spirits and vinegar",60,62,12,,13917,15682,20634,,30975074,33727111,30960904
10,'95,"Toys, games and sports requisites; parts and accessories thereof",0,0,4,,1,0,0,,51736985,55201125,44448292
11,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",17,22,3,,149,32,9,,415442291,477145907,463363545
12,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",0,5,3,,0,0,50,,105979496,115032958,118320238
13,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",0,2,2,,29,10,1,,5062492,5827198,5067362
14,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",0,0,1,,2,0,16,,35037691,44567971,36346897
15,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,3,5,0,,21,28,7,,22017576,20880022,16829265
16,'64,"Footwear, gaiters and the like; parts of such articles",0,0,0,,0,1,0,,28407913,37966586,26791727
17,'65,Headgear and parts thereof,0,0,0,,0,0,0,,3055448,4047005,3147385
18,'66,"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof",0,0,0,,0,0,0,,786621,888161,632516
19,'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,0,0,0,,0,0,0,,3333829,3685436,2536412
20,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",0,0,0,,24,3,5,,10307522,11209812,9763904
21,'69,Ceramic products,0,0,0,,1,0,6,,8353953,9637024,7959000
22,'70,Glass and glassware,0,0,0,,42,18,67,,9477975,10689376,9216582
23,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",8,48,0,,0,0,0,,95969683,96960127,89549261
24,'73,Articles of iron or steel,0,0,0,,36,29,1,,47929454,61174666,53264867
25,'74,Copper and articles thereof,0,0,0,,17,1,94,,16236022,15562373,14533040
26,'75,Nickel and articles thereof,0,0,0,,0,0,0,,2711774,4497248,4432562
27,'76,Aluminium and articles thereof,0,0,0,,45,10,9,,28738897,36664809,28296236
28,'78,Lead and articles thereof,0,0,0,,0,0,0,,1462259,1558432,1302020
29,'79,Zinc and articles thereof,0,0,0,,0,0,0,,2323040,3136910,2644045
