,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from China,United States of America's imports from China,United States of America's imports from China,China's exports to world,China's exports to world,China's exports to world,China's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,540073411,575710081,448035941,,3361814264,3593601450,3388716312,,2935314152,3375948186,3172533052
3,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",134883233,145807696,126679090,,898959878,954783812,899043465,,415442291,477145907,463363545
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",115364627,112770281,85889376,,547585389,551950811,512000300,,427918555,475932653,459195220
5,'95,"Toys, games and sports requisites; parts and accessories thereof",40333545,42768577,33388873,,101848964,103325605,89094685,,51736985,55201125,44448292
6,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",31437833,29666363,20285544,,139481266,130893407,121033004,,81318355,86736616,69006761
7,'39,Plastics and articles thereof,27005216,26411861,20155172,,131074406,143529368,132467055,,82383519,89879630,72346644
8,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",17041607,19596488,16413985,,120021475,150235440,192698137,,282898550,329648232,381037566
9,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",14043719,14084051,11790477,,97486304,70257758,69753522,,105979496,115032958,118320238
10,'73,Articles of iron or steel,15378286,16464221,11714690,,95509060,110312642,97916888,,47929454,61174666,53264867
11,'99,Commodities not elsewhere specified,9950476,9993642,10053775,,37283047,45926982,65515243,,120523238,117234923,124977171
12,'64,"Footwear, gaiters and the like; parts of such articles",12068196,14779539,10039054,,51674811,62020064,53326900,,28407913,37966586,26791727
13,'61,"Articles of apparel and clothing accessories, knitted or crocheted",13071788,13585816,9996063,,86457923,90942324,83043315,,52249668,60784841,45244512
14,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,12063150,11217345,8592441,,41857184,37667401,33458233,,22017576,20880022,16829265
15,'29,Organic chemicals,10760580,14294488,8388423,,82584052,101887171,77916978,,64624866,75919212,66588583
16,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",8914147,10061764,7807754,,70099298,76874394,70864118,,35037691,44567971,36346897
17,'30,Pharmaceutical products,3469254,10394244,6000149,,38552225,14004896,11295548,,149410420,164993417,177848476
18,'83,Miscellaneous articles of base metal,6427102,6912989,5011702,,27023447,28718689,26350351,,15459873,17444079,14965789
19,'96,Miscellaneous manufactured articles,4205468,4993572,4308883,,23169154,26839426,27621347,,7878340,9074701,8021401
20,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",3884751,4468607,3296959,,30841563,38712702,38782282,,13929584,17447423,13924379
21,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",4410343,4156807,3131069,,23196436,24088183,23692430,,12320950,12673289,10993223
22,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",3033764,3716519,2971602,,24165819,31632175,29245966,,17756056,22401739,19189440
