,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Denmark,United States of America's imports from Denmark,United States of America's imports from Denmark,Denmark's exports to world,Denmark's exports to world,Denmark's exports to world,Denmark's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,12311950,13225409,11826231,,125384922,129811334,136074398,,2935314152,3375948186,3172533052
3,'30,Pharmaceutical products,6735827,7006542,5700160,,19519019,19897007,21012142,,149410420,164993417,177848476
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1390526,1508453,1556821,,16576700,16238444,16117214,,427918555,475932653,459195220
5,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",830755,917943,1043370,,4688861,4624935,4777508,,105979496,115032958,118320238
6,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",621880,626406,639271,,9654272,8615483,9063650,,415442291,477145907,463363545
7,'35,Albuminoidal substances; modified starches; glues; enzymes,391894,411559,410957,,2429084,2552555,2544060,,3992509,4842622,4047522
8,'29,Organic chemicals,252458,308533,252429,,2823376,2724582,2702204,,64624866,75919212,66588583
9,'99,Commodities not elsewhere specified,199253,196872,216444,,718681,1577848,1000945,,120523238,117234923,124977171
10,'38,Miscellaneous chemical products,110618,123364,147693,,1860029,1973425,2054637,,21953891,29507737,26911031
11,'73,Articles of iron or steel,82016,88589,135110,,3246234,2924255,3048793,,47929454,61174666,53264867
12,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",76618,90433,133711,,3493345,3600288,3662170,,23683668,25187793,21135061
13,'39,Plastics and articles thereof,155798,142930,132458,,3123780,2941282,2888901,,82383519,89879630,72346644
14,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",145447,154728,114065,,3840932,3696507,3449983,,81318355,86736616,69006761
15,'02,Meat and edible meat offal,151012,189235,110162,,4292025,3991721,3781955,,11994351,12964609,12452072
16,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",78751,294371,104075,,6153401,10326297,12922621,,225121448,322698860,266592032
17,'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",14635,82530,90640,,332222,375938,434720,,2617244,2855604,2992003
18,'88,"Aircraft, spacecraft, and parts thereof",100713,93745,88104,,353387,376817,423828,,25494149,27148868,30158075
19,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",48477,62832,72175,,3784527,3716548,4222634,,282898550,329648232,381037566
20,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",57491,66695,71952,,1317925,1351554,1472812,,11037973,14028956,14836798
21,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",53077,59985,67908,,2832271,3204763,3289266,,3298274,3858466,3966288
22,'21,Miscellaneous edible preparations,140382,57434,51079,,1243847,1142537,1166712,,11125287,13107006,11932595
23,'13,"Lac; gums, resins and other vegetable saps and extracts",24471,35891,43967,,305670,308884,315927,,1840866,2108440,1621001
24,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,26991,32188,42423,,355515,394425,523353,,2300512,2922742,2827673
25,'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",41009,40049,39354,,1370912,1400685,1476569,,7350962,8130906,6814862
26,'05,"Products of animal origin, not elsewhere specified or included",38706,50845,38611,,249647,274140,235492,,1192682,1390170,1243411
27,'95,"Toys, games and sports requisites; parts and accessories thereof",48195,43659,37589,,952628,923819,931633,,51736985,55201125,44448292
28,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",22974,35235,36998,,226355,274273,293860,,13765594,19421660,17310231
29,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",25733,37686,33445,,588289,624707,571581,,2903673,3515909,3188509
30,'93,Arms and ammunition; parts and accessories thereof,23042,29994,31195,,34023,35217,124560,,5569831,4791362,4380573
31,'97,"Works of art, collectors' pieces and antiques",18266,35409,30471,,99446,78921,90277,,8377261,10349607,10460361
32,'40,Rubber and articles thereof,28206,27722,29272,,470512,459589,477319,,41006678,40432341,34843081
33,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",25297,29895,28733,,928511,930018,964931,,17756056,22401739,19189440
34,'44,Wood and articles of wood; wood charcoal,19667,22805,22830,,1004436,1014753,880303,,35520074,36288065,24018724
35,'76,Aluminium and articles thereof,27959,27372,22140,,1362068,1512913,1801458,,28738897,36664809,28296236
36,'22,"Beverages, spirits and vinegar",17783,20840,21156,,1223039,1281053,1341520,,30975074,33727111,30960904
37,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",15651,21333,18485,,840341,885567,958211,,5479280,6103832,5813224
38,'89,"Ships, boats and floating structures",21847,15423,17717,,911809,1422522,2119465,,3354314,4202133,4394088
39,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",17554,18341,16267,,692071,599227,624887,,5198524,5908588,4922264
40,'96,Miscellaneous manufactured articles,16596,21702,15945,,409097,410112,438744,,7878340,9074701,8021401
41,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",11284,8689,13334,,953348,1114234,1089940,,10194217,14451440,15652636
42,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",12103,12411,12491,,258633,250515,267790,,12320950,12673289,10993223
43,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",10777,11859,12079,,457317,486560,376500,,10307522,11209812,9763904
44,'83,Miscellaneous articles of base metal,10058,14263,11176,,515196,518371,494469,,15459873,17444079,14965789
45,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,6542,8864,7347,,452152,405520,398434,,22017576,20880022,16829265
46,'23,Residues and waste from the food industries; prepared animal fodder,7449,5375,6778,,1190218,1082862,1145701,,4663257,5619357,5116393
47,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",4025,7516,6631,,234254,266921,249477,,5062492,5827198,5067362
48,'72,Iron and steel,5596,6580,6623,,2157950,2400548,2136514,,38904135,44933026,33156047
