,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from France,United States of America's imports from France,United States of America's imports from France,France's exports to world,France's exports to world,France's exports to world,France's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,51501811,59106519,58927206,,573097780,608571695,634524949,,2935314152,3375948186,3172533052
3,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",7386383,9264647,9567390,,63211568,64690249,73631433,,427918555,475932653,459195220
4,'88,"Aircraft, spacecraft, and parts thereof",7427940,5910634,5263338,,32300925,33272589,38177031,,25494149,27148868,30158075
5,'22,"Beverages, spirits and vinegar",6067907,6436373,5029883,,22378704,22168376,21888541,,30975074,33727111,30960904
6,'30,Pharmaceutical products,2688285,3436207,4165467,,39118669,37724059,38018966,,149410420,164993417,177848476
7,'99,Commodities not elsewhere specified,3553817,4440754,3972319,,458408,413559,364326,,120523238,117234923,124977171
8,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",3063978,3654066,3892296,,22038065,22953697,25688291,,16512895,19450808,20086344
9,'97,"Works of art, collectors' pieces and antiques",2446463,3368898,3591053,,1810168,1926548,1861106,,8377261,10349607,10460361
10,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2154481,2545580,2770699,,45051647,46954126,49699428,,415442291,477145907,463363545
11,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2322967,2531501,2623402,,17392048,16674533,18214500,,105979496,115032958,118320238
12,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",1368705,1414923,1896579,,8972880,10536858,11981548,,95969683,96960127,89549261
13,'29,Organic chemicals,1311656,1338254,1676282,,14187747,15011402,15278445,,64624866,75919212,66588583
14,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",892586,1394710,1415403,,19046631,34118176,30953705,,225121448,322698860,266592032
15,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",1370709,1535625,1355939,,11910359,12831614,13883205,,13929584,17447423,13924379
16,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",516720,739471,1041034,,51074958,49732836,60248331,,282898550,329648232,381037566
17,'39,Plastics and articles thereof,984862,1170220,987080,,25644976,25210649,23169799,,82383519,89879630,72346644
18,'38,Miscellaneous chemical products,878302,989991,875482,,15009990,15132623,14640248,,21953891,29507737,26911031
19,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",327639,526594,694072,,3894682,5472149,5066537,,13765594,19421660,17310231
20,'40,Rubber and articles thereof,602710,775299,673717,,6544368,6568583,6807821,,41006678,40432341,34843081
21,'73,Articles of iron or steel,409877,548116,663040,,8190296,8729755,9156411,,47929454,61174666,53264867
22,'72,Iron and steel,323646,445958,370003,,18494987,19204009,15629181,,38904135,44933026,33156047
23,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",322865,376014,368189,,5555337,5870631,6792795,,11037973,14028956,14836798
24,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",255233,347313,365518,,4291827,4299271,4492287,,81318355,86736616,69006761
25,'70,Glass and glassware,263664,313002,345947,,3505787,3615915,3660377,,9477975,10689376,9216582
26,'89,"Ships, boats and floating structures",242331,278433,335062,,2658378,5090400,4124567,,3354314,4202133,4394088
27,'44,Wood and articles of wood; wood charcoal,210498,321946,326071,,3264919,3696296,3317910,,35520074,36288065,24018724
28,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",235696,282161,297610,,8011878,8222453,8556013,,3298274,3858466,3966288
29,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",308348,340220,288747,,6926856,7708306,6667003,,17756056,22401739,19189440
30,'76,Aluminium and articles thereof,181923,193863,270811,,6200648,6943110,6502994,,28738897,36664809,28296236
31,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",158075,227086,243413,,6999167,7701239,8665392,,35037691,44567971,36346897
32,'75,Nickel and articles thereof,125897,215290,237855,,757650,914753,1229196,,2711774,4497248,4432562
33,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",178101,234324,223450,,2190441,2274032,2648284,,10976028,13668877,13570806
34,'96,Miscellaneous manufactured articles,192351,184950,193071,,1854435,1829630,1892900,,7878340,9074701,8021401
35,'35,Albuminoidal substances; modified starches; glues; enzymes,221382,266396,192321,,2207799,2426926,2419185,,3992509,4842622,4047522
36,'81,Other base metals; cermets; articles thereof,127188,174229,175132,,754175,954907,1085492,,2363667,3986669,3683757
37,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",149827,184494,173195,,3985511,4069523,4251314,,5479280,6103832,5813224
38,'13,"Lac; gums, resins and other vegetable saps and extracts",175555,181295,162673,,771474,763820,765024,,1840866,2108440,1621001
39,'74,Copper and articles thereof,121514,159604,161701,,4135093,4040189,3864053,,16236022,15562373,14533040
40,'21,Miscellaneous edible preparations,127805,126336,142674,,3806178,3643098,4151700,,11125287,13107006,11932595
41,'23,Residues and waste from the food industries; prepared animal fodder,169938,162100,133819,,4062987,4157991,4414488,,4663257,5619357,5116393
42,'83,Miscellaneous articles of base metal,120569,142096,127840,,1928663,1962255,2149984,,15459873,17444079,14965789
43,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",145322,150913,125598,,3527825,3449009,3376876,,5198524,5908588,4922264
44,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",116731,112760,108926,,1383715,1307050,1374024,,12320950,12673289,10993223
45,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",48883,92338,96577,,1239369,1308352,1433470,,10307522,11209812,9763904
46,'18,Cocoa and cocoa preparations,78629,98946,94668,,2367612,2256514,2606244,,5809447,6313982,6370822
47,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",81594,174303,76692,,2332104,3090902,2486048,,10194217,14451440,15652636
48,'69,Ceramic products,58110,70954,74386,,832559,917016,914630,,8353953,9637024,7959000
49,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",60201,72834,60099,,1201870,1220290,1287479,,5195503,6644946,6187972
50,'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",66681,84319,58183,,1609598,1496904,1709938,,5062492,5827198,5067362
51,'95,"Toys, games and sports requisites; parts and accessories thereof",62768,69649,58100,,2548298,2330490,2407514,,51736985,55201125,44448292
52,'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",32088,38658,53225,,1079566,953153,916435,,2189773,3253366,3011507
53,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,37846,58288,49542,,1199488,1266453,1535210,,2300512,2922742,2827673
54,'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",68379,55628,47328,,928904,876254,864629,,3398784,3301695,2786665
55,'17,Sugars and sugar confectionery,36302,49671,46349,,1971020,2421396,2920070,,5276752,6474233,6938019
56,'91,Clocks and watches and parts thereof,44070,56936,44631,,2547968,2760463,3064496,,6374006,6846918,7099709
57,'61,"Articles of apparel and clothing accessories, knitted or crocheted",29695,39411,44476,,5519540,6169468,6584889,,52249668,60784841,45244512
58,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",41391,78546,43127,,2636669,2796391,2650187,,2903673,3515909,3188509
59,'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",29155,31753,36427,,433971,429761,513839,,3103161,3281410,2992546
60,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,32994,45883,36365,,1307594,1247603,1362933,,22017576,20880022,16829265
