,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Ghana,United States of America's imports from Ghana,United States of America's imports from Ghana,Ghana's exports to world,Ghana's exports to world,Ghana's exports to world,Ghana's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,1778609,2836769,1738332,,14823232,17378757,16874662,,2935314152,3375948186,3172533052
3,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1385618,2361459,1232609,,3883806,5285841,4049084,,225121448,322698860,266592032
4,'18,Cocoa and cocoa preparations,228269,288269,280178,,2385215,2165686,1898300,,5809447,6313982,6370822
5,'61,"Articles of apparel and clothing accessories, knitted or crocheted",15009,38454,37753,,20377,42909,36137,,52249668,60784841,45244512
6,'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",7878,15473,31282,,51536,284948,75734,,2903673,3515909,3188509
7,'78,Lead and articles thereof,13128,16468,30617,,36639,44151,47031,,1462259,1558432,1302020
8,'40,Rubber and articles thereof,29868,22502,29371,,140456,130354,123662,,41006678,40432341,34843081
9,'07,Edible vegetables and certain roots and tubers,19900,23148,23268,,9035,9344,15050,,13483057,14744347,15444295
10,'44,Wood and articles of wood; wood charcoal,11477,14246,13562,,107377,122853,84012,,35520074,36288065,24018724
11,'97,"Works of art, collectors' pieces and antiques",10855,8679,12301,,435,244,163,,8377261,10349607,10460361
12,'99,Commodities not elsewhere specified,9659,5670,9459,,,,,,120523238,117234923,124977171
13,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",12651,9701,7053,,280443,254998,191307,,10194217,14451440,15652636
14,'08,Edible fruit and nuts; peel of citrus fruit or melons,5131,7092,4692,,576487,461736,387286,,22227898,24120677,24218490
15,'23,Residues and waste from the food industries; prepared animal fodder,0,5,4641,,18665,10623,12080,,4663257,5619357,5116393
16,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",2144,1769,3375,,17902,20080,35323,,10976028,13668877,13570806
17,'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",4568,5452,2929,,3080,2639,2141,,872499,874665,609481
18,'11,Products of the milling industry; malt; starches; inulin; wheat gluten,2210,2388,2321,,33714,18253,15084,,2300512,2922742,2827673
19,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",2078,898,1558,,29077,42540,56845,,5479280,6103832,5813224
20,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",5649,2338,1420,,3909,1599,1199,,35037691,44567971,36346897
21,'67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,2235,414,1169,,2345,1668,1252,,3333829,3685436,2536412
22,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",308,1916,1033,,44672,76411,79236,,427918555,475932653,459195220
