,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Israel,United States of America's imports from Israel,United States of America's imports from Israel,Israel's exports to world,Israel's exports to world,Israel's exports to world,Israel's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,18991953,21865804,21164813,,60159734,72568881,59915951,,2935314152,3375948186,3172533052
3,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",5425219,6696854,5798556,,9543389,11757227,7364298,,95969683,96960127,89549261
4,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",2526957,3483107,4495481,,10348204,11806205,11387034,,415442291,477145907,463363545
5,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2066412,2309772,2259824,,7360889,8124280,7409701,,105979496,115032958,118320238
6,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1451858,1644084,1703854,,4993579,5290246,5107140,,427918555,475932653,459195220
7,'30,Pharmaceutical products,1643120,1215091,1299116,,2113393,3177223,1801928,,149410420,164993417,177848476
8,'99,Commodities not elsewhere specified,1185132,1148153,857854,,670,121,15790,,120523238,117234923,124977171
9,'39,Plastics and articles thereof,923727,930370,760645,,3323157,3393371,2782075,,82383519,89879630,72346644
10,'88,"Aircraft, spacecraft, and parts thereof",408781,438465,367773,,2374637,2306632,2089583,,25494149,27148868,30158075
11,'31,Fertilisers,301611,481823,303976,,1607371,3075307,1947405,,10291043,13248147,9816857
12,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",259078,278791,295100,,1004711,960666,955604,,12320950,12673289,10993223
13,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",62781,128712,251762,,2252676,3860444,4231797,,225121448,322698860,266592032
14,'29,Organic chemicals,238759,293611,241300,,1441553,1964609,1144765,,64624866,75919212,66588583
15,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",151844,254045,230846,,1093734,1529009,1279089,,13765594,19421660,17310231
16,'81,Other base metals; cermets; articles thereof,33287,167386,203048,,108274,241528,207896,,2363667,3986669,3683757
17,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",166324,165724,156885,,583133,650033,640590,,16512895,19450808,20086344
18,'73,Articles of iron or steel,148112,166567,130793,,430815,495452,454881,,47929454,61174666,53264867
19,'93,Arms and ammunition; parts and accessories thereof,176086,123031,122387,,1453314,1926296,1444054,,5569831,4791362,4380573
20,'60,Knitted or crocheted fabrics,83720,122878,115457,,144904,162322,157316,,1092254,1248161,886594
21,'38,Miscellaneous chemical products,97182,138399,110815,,3240967,4580798,3207782,,21953891,29507737,26911031
22,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",118521,128320,91519,,498296,465081,356265,,81318355,86736616,69006761
23,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",39416,70469,90389,,155466,182462,153386,,282898550,329648232,381037566
24,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",84267,89562,90166,,130551,137222,140684,,11037973,14028956,14836798
25,'21,Miscellaneous edible preparations,66889,70807,74016,,284833,281260,343269,,11125287,13107006,11932595
26,'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",89746,93075,61317,,252796,274978,217806,,5198524,5908588,4922264
