,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Japan,United States of America's imports from Japan,United States of America's imports from Japan,Japan's exports to world,Japan's exports to world,Japan's exports to world,Japan's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,139112448,154445767,151580612,,757461387,752071999,719844077,,2935314152,3375948186,3172533052
3,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",43400156,45174365,50804975,,137910174,136685557,157704277,,282898550,329648232,381037566
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",33250372,39338339,36245296,,147382627,142824672,130042450,,427918555,475932653,459195220
5,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",19476328,20585939,19420049,,118985289,114162770,102148870,,415442291,477145907,463363545
6,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",7357302,7589692,6976236,,43084807,39065921,36255216,,105979496,115032958,118320238
7,'30,Pharmaceutical products,5992366,7012151,6589219,,7572612,7493925,7647002,,149410420,164993417,177848476
8,'99,Commodities not elsewhere specified,3757694,3691446,4014530,,50409230,57289303,56498985,,120523238,117234923,124977171
9,'38,Miscellaneous chemical products,2969453,3770668,3677037,,14625914,14360257,12565305,,21953891,29507737,26911031
10,'40,Rubber and articles thereof,2244605,3101112,2782901,,10514315,10712182,10223103,,41006678,40432341,34843081
11,'39,Plastics and articles thereof,2614611,2978186,2464274,,30364676,27076156,23707973,,82383519,89879630,72346644
12,'73,Articles of iron or steel,1562704,1920274,2021233,,9543477,9523632,9607004,,47929454,61174666,53264867
13,'88,"Aircraft, spacecraft, and parts thereof",1361626,1162940,1621341,,1636721,1591740,2116185,,25494149,27148868,30158075
14,'29,Organic chemicals,1851336,2117426,1497237,,18343821,17268619,14811937,,64624866,75919212,66588583
15,'72,Iron and steel,1206857,1464981,1236871,,34789490,35162139,30569365,,38904135,44933026,33156047
16,'37,Photographic or cinematographic goods,1040088,1076450,869875,,5434761,5128685,4661049,,1587714,1662665,1413439
17,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",957823,897722,803825,,3964131,3471490,3187830,,12320950,12673289,10993223
18,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",601012,1239091,732531,,10233745,18380097,12759020,,225121448,322698860,266592032
19,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",612929,793005,567644,,9405001,10416922,8868420,,13765594,19421660,17310231
20,'95,"Toys, games and sports requisites; parts and accessories thereof",500652,551103,566476,,4562478,4126737,4020547,,51736985,55201125,44448292
21,'81,Other base metals; cermets; articles thereof,234339,442067,510529,,998252,1184815,1173123,,2363667,3986669,3683757
22,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",469539,770103,506366,,14296205,17530443,18528279,,95969683,96960127,89549261
23,'91,Clocks and watches and parts thereof,642072,669337,504818,,865540,796020,716672,,6374006,6846918,7099709
