,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Mexico,United States of America's imports from Mexico,United States of America's imports from Mexico,Mexico's exports to world,Mexico's exports to world,Mexico's exports to world,Mexico's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,388319850,459205003,480080423,,494460765,577730713,592997234,,2935314152,3375948186,3172533052
3,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",94302083,111685077,130033357,,114306718,136075854,156466212,,282898550,329648232,381037566
4,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",70565125,79662031,85555067,,86724103,97325194,103407353,,415442291,477145907,463363545
5,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",71486830,86572296,81617765,,85299645,103006269,93498699,,427918555,475932653,459195220
6,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",16186546,26664986,25012215,,27826897,37694492,32593334,,225121448,322698860,266592032
7,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",17122430,18874318,22332893,,20569536,22839435,27332687,,105979496,115032958,118320238
8,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",11548483,13192176,13359687,,11078427,12783517,12899322,,81318355,86736616,69006761
9,'22,"Beverages, spirits and vinegar",9648159,11597826,11750207,,10049775,11646747,11981791,,30975074,33727111,30960904
10,'99,Commodities not elsewhere specified,9407393,10581168,10912494,,8109059,8942348,9706636,,120523238,117234923,124977171
11,'08,Edible fruit and nuts; peel of citrus fruit or melons,9785006,10493402,10864691,,8355459,8733019,8732175,,22227898,24120677,24218490
12,'07,Edible vegetables and certain roots and tubers,8387636,8919332,9528220,,8631707,9222480,9937495,,13483057,14744347,15444295
13,'39,Plastics and articles thereof,7245268,8719283,7909764,,11420944,13145881,11737277,,82383519,89879630,72346644
14,'73,Articles of iron or steel,6557537,8254827,7858355,,8101296,10067593,9865913,,47929454,61174666,53264867
15,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",6058947,5181757,5518063,,9284047,8332963,8443551,,95969683,96960127,89549261
16,'40,Rubber and articles thereof,3417681,4080714,4644425,,3883243,4571925,4884788,,41006678,40432341,34843081
17,'72,Iron and steel,4669731,5612055,3733807,,6115604,6973450,4301678,,38904135,44933026,33156047
18,'83,Miscellaneous articles of base metal,2434514,2711501,2852856,,2801448,3060295,3208561,,15459873,17444079,14965789
19,'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1988978,2541456,2830326,,2698729,3355837,3700977,,11037973,14028956,14836798
20,'17,Sugars and sugar confectionery,1637547,2125970,2170132,,1825789,2396840,2330703,,5276752,6474233,6938019
21,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",1666704,1994542,2095661,,1861032,2220862,2364451,,10976028,13668877,13570806
22,'02,Meat and edible meat offal,2102109,2130552,1993525,,3242365,3183956,2921452,,11994351,12964609,12452072
23,'76,Aluminium and articles thereof,1816927,2272946,1957931,,2477622,3149258,2624886,,28738897,36664809,28296236
24,'70,Glass and glassware,1731710,1983768,1916140,,2095901,2452282,2377626,,9477975,10689376,9216582
25,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",1929151,2142086,1907346,,2222116,2621711,2588826,,35037691,44567971,36346897
26,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",1127479,1419370,1656271,,2498995,2928560,3190940,,16512895,19450808,20086344
27,'95,"Toys, games and sports requisites; parts and accessories thereof",1234569,1440151,1552185,,1965693,2409575,2462965,,51736985,55201125,44448292
28,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",1289935,1587052,1542932,,1880297,2288120,2134082,,17756056,22401739,19189440
29,'69,Ceramic products,1246544,1297056,1371082,,1492753,1574474,1601088,,8353953,9637024,7959000
30,'88,"Aircraft, spacecraft, and parts thereof",855052,1048827,1326362,,563679,674027,777142,,25494149,27148868,30158075
31,'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,1259003,1227391,1255153,,1614803,1696035,1681574,,22017576,20880022,16829265
32,'38,Miscellaneous chemical products,787946,1174534,1148119,,1446958,2036556,2006845,,21953891,29507737,26911031
33,'01,Live animals,767060,649131,1132087,,725085,696916,1133452,,3352771,3686856,4056241
34,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",914198,1120704,1128343,,1108164,1347753,1381210,,10307522,11209812,9763904
35,'21,Miscellaneous edible preparations,712305,946144,1095535,,1295730,1606313,1873292,,11125287,13107006,11932595
36,'61,"Articles of apparel and clothing accessories, knitted or crocheted",1073477,1156465,1056282,,2188014,2638886,2906749,,52249668,60784841,45244512
37,'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",823052,989354,1048271,,1190970,1446242,1428043,,5479280,6103832,5813224
38,'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",746558,1013399,948716,,1266997,1627549,1387754,,13765594,19421660,17310231
39,'74,Copper and articles thereof,1501342,1505436,916920,,2942145,3046962,2460718,,16236022,15562373,14533040
40,'30,Pharmaceutical products,654241,825894,915324,,1796769,2180866,2340402,,149410420,164993417,177848476
41,'89,"Ships, boats and floating structures",650306,894887,849934,,1410956,1408869,1531503,,3354314,4202133,4394088
42,'96,Miscellaneous manufactured articles,702529,850432,798619,,1417115,1590756,1596600,,7878340,9074701,8021401
43,'64,"Footwear, gaiters and the like; parts of such articles",578481,817542,775167,,669064,943653,960839,,28407913,37966586,26791727
44,'44,Wood and articles of wood; wood charcoal,782067,845509,737651,,884968,953372,826910,,35520074,36288065,24018724
45,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",649620,609466,629257,,1221229,1233675,1263871,,12320950,12673289,10993223
46,'18,Cocoa and cocoa preparations,530525,638460,626396,,673930,770597,818730,,5809447,6313982,6370822
