,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Spain,United States of America's imports from Spain,United States of America's imports from Spain,Spain's exports to world,Spain's exports to world,Spain's exports to world,Spain's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,19438020,24308118,24083997,,391558519,424286055,420169591,,2935314152,3375948186,3172533052
3,'30,Pharmaceutical products,2228869,3153064,2777197,,20196767,28098250,21860694,,149410420,164993417,177848476
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2469344,2393406,2538081,,25131521,26136499,28571759,,427918555,475932653,459195220
5,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",1197579,2251060,2066716,,23137931,36311607,27988726,,225121448,322698860,266592032
6,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",1297292,1371533,1836104,,19768888,19984373,22072899,,415442291,477145907,463363545
7,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",792000,1092960,1329935,,54144088,52269707,65333940,,282898550,329648232,381037566
8,'99,Commodities not elsewhere specified,861941,716145,1076845,,23982977,25967308,21855529,,120523238,117234923,124977171
9,'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",528929,729978,902080,,5901005,6290886,7565844,,16512895,19450808,20086344
10,'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",548905,927025,861640,,6337840,7568262,7240815,,10194217,14451440,15652636
11,'73,Articles of iron or steel,500800,762508,849050,,9038700,10149899,10504055,,47929454,61174666,53264867
12,'38,Miscellaneous chemical products,359136,378883,805227,,6913321,8205922,7191479,,21953891,29507737,26911031
13,'69,Ceramic products,657062,832078,688744,,5150524,5575809,4756970,,8353953,9637024,7959000
14,'29,Organic chemicals,582593,697130,665123,,5690374,6837836,8457435,,64624866,75919212,66588583
15,'22,"Beverages, spirits and vinegar",516145,508877,471469,,5871383,5754627,5884426,,30975074,33727111,30960904
16,'20,"Preparations of vegetables, fruit, nuts or other parts of plants",356068,453290,447471,,3926057,4112694,4333049,,10976028,13668877,13570806
17,'39,Plastics and articles thereof,481471,563293,407675,,15848213,16309799,14032856,,82383519,89879630,72346644
18,'40,Rubber and articles thereof,371373,455619,391193,,4632069,4713763,5550679,,41006678,40432341,34843081
19,'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",518274,503192,366372,,2498085,2657046,2530357,,10307522,11209812,9763904
20,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",332857,431702,362711,,3774894,3836256,4136011,,105979496,115032958,118320238
21,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",261779,339636,309345,,4340072,4245084,4450708,,81318355,86736616,69006761
22,'88,"Aircraft, spacecraft, and parts thereof",128513,195087,296686,,4706810,5401040,4894499,,25494149,27148868,30158075
23,'72,Iron and steel,172510,321871,269119,,10680541,11220790,8821367,,38904135,44933026,33156047
24,'97,"Works of art, collectors' pieces and antiques",399641,393163,266909,,162014,163336,211784,,8377261,10349607,10460361
25,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",188638,258938,238520,,4115704,4266331,4228554,,23683668,25187793,21135061
26,'64,"Footwear, gaiters and the like; parts of such articles",199783,248241,219050,,3176223,3448909,3683497,,28407913,37966586,26791727
27,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",280656,265093,216692,,1506412,1655306,1904878,,13929584,17447423,13924379
28,'07,Edible vegetables and certain roots and tubers,168548,180250,193485,,8824433,8164040,9332417,,13483057,14744347,15444295
29,'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",181117,272551,187518,,3235955,4249078,4241038,,95969683,96960127,89549261
30,'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",121241,138443,174485,,1593035,1577069,1642273,,5195503,6644946,6187972
31,'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",108330,123056,156668,,2033915,2141730,2278228,,3298274,3858466,3966288
