,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,"United States of America's imports from Taipei, Chinese","United States of America's imports from Taipei, Chinese","United States of America's imports from Taipei, Chinese","Taipei, Chinese's exports to world","Taipei, Chinese's exports to world","Taipei, Chinese's exports to world","Taipei, Chinese's exports to world",United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,80659450,96075321,89918875,,447557398,478252341,432955571,,2935314152,3375948186,3172533052
3,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",24236216,28936873,34517270,,57600622,63171125,77630558,,427918555,475932653,459195220
4,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",23904421,29686073,27004249,,219328927,246219382,222876409,,415442291,477145907,463363545
5,'73,Articles of iron or steel,3718892,5235775,3634857,,9303918,10430249,7928825,,47929454,61174666,53264867
6,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",4012485,4875806,3586373,,13626735,15780155,11466935,,282898550,329648232,381037566
7,'39,Plastics and articles thereof,3395803,3886463,2771789,,26457908,22910597,17633485,,82383519,89879630,72346644
8,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",2574625,2718687,2508125,,19853392,16462135,12937366,,105979496,115032958,118320238
9,'99,Commodities not elsewhere specified,2159425,2609365,2327820,,2041017,1716427,1574231,,120523238,117234923,124977171
10,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",1935359,1885076,1387213,,2727772,2309236,1845444,,81318355,86736616,69006761
11,'95,"Toys, games and sports requisites; parts and accessories thereof",2972275,1985637,1335185,,4199460,2728243,2207416,,51736985,55201125,44448292
12,'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1279226,1436218,1145504,,3590257,3521973,2967730,,12320950,12673289,10993223
13,'83,Miscellaneous articles of base metal,1275326,1603801,1127124,,2202501,2239376,1782244,,15459873,17444079,14965789
14,'72,Iron and steel,1271149,1646616,784800,,12773860,12109103,9177915,,38904135,44933026,33156047
15,'40,Rubber and articles thereof,906941,1035965,750053,,3497041,2942727,2316505,,41006678,40432341,34843081
16,'29,Organic chemicals,693185,806120,655462,,11834074,10931695,7980956,,64624866,75919212,66588583
17,'30,Pharmaceutical products,388914,379361,646565,,702692,863278,1221669,,149410420,164993417,177848476
18,'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",255157,686293,602325,,10250076,17563372,13202818,,225121448,322698860,266592032
