,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Product code,Product label,United States of America's imports from Viet Nam,United States of America's imports from Viet Nam,United States of America's imports from Viet Nam,Viet Nam's exports to world,Viet Nam's exports to world,Viet Nam's exports to world,Viet Nam's exports to world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world,United States of America's imports from world
1,Product code,Product label,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023,,Value in 2021,Value in 2022,Value in 2023
2,'TOTAL,All products,108179712,135876564,118940929,,335792598,370909157,453693562,,2935314152,3375948186,3172533052
3,'85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...",36321435,46761173,41783842,,131385178,140341806,189698746,,415442291,477145907,463363545
4,'84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",11153963,13212068,17510129,,24102145,29505373,48182979,,427918555,475932653,459195220
5,'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",14246662,15788592,11968278,,13833399,13901442,15909967,,81318355,86736616,69006761
6,'64,"Footwear, gaiters and the like; parts of such articles",7828087,11459844,7936341,,18235775,24553246,31123217,,28407913,37966586,26791727
7,'61,"Articles of apparel and clothing accessories, knitted or crocheted",9126584,10895612,7869922,,15734487,17320345,17946877,,52249668,60784841,45244512
8,'62,"Articles of apparel and clothing accessories, not knitted or crocheted",5959915,7970574,6554260,,13659990,16693638,18519069,,35037691,44567971,36346897
9,'95,"Toys, games and sports requisites; parts and accessories thereof",2495461,3394447,2774846,,2913855,4202294,6054060,,51736985,55201125,44448292
10,'39,Plastics and articles thereof,2337872,3222581,2712651,,7297439,7943015,8095751,,82383519,89879630,72346644
11,'40,Rubber and articles thereof,1429391,1782226,1523719,,6139289,6513593,6235934,,41006678,40432341,34843081
12,'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",1310142,1238041,1385288,,3950133,4085911,6052753,,105979496,115032958,118320238
13,'73,Articles of iron or steel,1030180,1411897,1331137,,3952844,4637931,4068468,,47929454,61174666,53264867
14,'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",1188080,1733117,1329576,,2629290,3502192,4830498,,13929584,17447423,13924379
15,'99,Commodities not elsewhere specified,550722,896742,1264067,,4915838,5710533,8510228,,120523238,117234923,124977171
16,'87,"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof",896907,1258892,1018850,,4027589,4974463,5215475,,282898550,329648232,381037566
17,'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1175763,1546883,929803,,6304923,7979124,5342060,,23683668,25187793,21135061
18,'44,Wood and articles of wood; wood charcoal,982995,1279925,868767,,4557382,5848971,5889799,,35520074,36288065,24018724
19,'08,Edible fruit and nuts; peel of citrus fruit or melons,1174384,945710,822394,,5504656,4621456,6176079,,22227898,24120677,24218490
20,'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",495694,674580,699774,,1695362,1898813,2423862,,17756056,22401739,19189440
